hextimestamp,temp,light,sound,pressure,humidity
0x56b40df8,27.19,193,502,101.48,560
0x56b40dfa,27.25,193,511,101.48,560
0x56b40dfb,27.25,193,510,101.48,562
0x56b40dfd,27.25,194,508,101.48,560
0x56b40dff,27.25,199,524,101.48,560
0x56b40e01,27.25,197,510,101.48,559
0x56b40e03,27.25,196,473,101.47,559
0x56b40e04,27.25,198,504,101.48,561
0x56b40e06,27.25,198,498,101.48,559
0x56b40e08,27.31,198,424,101.49,559
0x56b40e0a,27.25,196,399,101.49,558
0x56b40e0c,27.31,198,517,101.49,584
0x56b40e0e,27.25,198,542,101.48,553
0x56b40e10,27.31,197,514,101.49,553
0x56b40e11,27.31,199,517,101.49,557
0x56b40e13,27.31,197,445,101.49,555
0x56b40e15,27.38,198,413,101.49,556
0x56b40e17,27.31,198,494,101.49,553
0x56b40e19,27.38,199,449,101.49,556
0x56b40e1b,27.38,199,469,101.48,555
0x56b40e1c,27.38,198,437,101.49,552
0x56b40e1e,27.38,199,464,101.48,557
0x56b40e20,27.31,199,449,101.47,551
0x56b40e22,27.31,199,511,101.48,545
0x56b40e24,27.38,198,516,101.49,544
0x56b40e25,27.38,198,432,101.50,548
0x56b40e27,27.31,198,475,101.49,546
0x56b40e29,27.31,199,495,101.49,546
0x56b40e2b,27.31,199,386,101.48,550
0x56b40e2d,27.31,199,383,101.49,546
0x56b40e2f,27.31,198,393,101.50,549
0x56b40e31,27.31,199,388,101.49,544
0x56b40e32,27.31,198,393,101.48,548
0x56b40e34,27.38,199,458,101.50,545
0x56b40e36,27.31,199,493,101.47,551
0x56b40e38,27.38,199,511,101.49,549
0x56b40e3a,27.31,199,409,101.48,549
0x56b40e3c,27.38,199,475,101.49,549
0x56b40e3d,27.38,199,525,101.48,554
0x56b40e3f,27.38,200,440,101.48,548
0x56b40e41,27.38,198,435,101.48,550
0x56b40e43,27.38,200,514,101.48,549
0x56b40e45,27.38,199,390,101.49,549
0x56b40e47,27.38,200,493,101.48,546
0x56b40e48,27.38,198,507,101.48,552
0x56b40e4a,27.38,200,459,101.48,550
0x56b40e4c,27.44,200,451,101.50,543
0x56b40e4e,27.38,200,522,101.48,540
0x56b40e50,27.31,199,426,101.47,540
0x56b40e52,27.38,200,509,101.49,542
0x56b40e53,27.38,199,505,101.50,539
0x56b40e55,27.38,200,518,101.48,538
0x56b40e57,27.38,199,519,101.49,541
0x56b40e59,27.38,199,528,101.50,547
0x56b40e5b,27.44,197,503,101.50,540
0x56b40e5d,27.44,199,509,101.51,540
0x56b40e5e,27.44,199,503,101.50,542
0x56b40e60,27.44,200,502,101.48,543
0x56b40e62,27.44,200,480,101.49,540
0x56b40e64,27.44,197,504,101.48,540
0x56b40e66,27.38,199,510,101.47,538
0x56b40e68,27.38,199,513,101.47,518
0x56b40e69,27.44,200,470,101.48,540
0x56b40e6b,27.44,200,519,101.48,541
0x56b40e6d,27.38,199,488,101.47,536
0x56b40e6f,27.38,199,497,101.48,533
0x56b40e71,27.38,198,508,101.47,535
0x56b40e73,27.44,200,445,101.49,537
0x56b40e75,27.38,195,443,101.47,535
0x56b40e76,27.44,197,508,101.49,537
0x56b40e78,27.38,199,451,101.47,535
0x56b40e7a,27.50,199,510,101.49,539
0x56b40e7c,27.44,198,447,101.48,539
0x56b40e7e,27.44,199,517,101.48,540
0x56b40e7f,27.44,199,465,101.48,538
0x56b40e81,27.50,198,504,101.49,541
0x56b40e83,27.44,199,520,101.48,537
0x56b40e85,27.44,198,504,101.48,537
0x56b40e87,27.50,197,498,101.49,542
0x56b40e88,27.44,198,480,101.49,536
0x56b40e8a,27.44,197,506,101.49,539
0x56b40e8d,27.44,197,513,101.48,505
0x56b40e8f,27.50,196,504,101.49,540
0x56b40e90,27.44,198,466,101.48,529
0x56b40e92,27.50,198,512,101.49,538
0x56b40e94,27.50,199,511,101.49,536
0x56b40e96,27.50,198,513,101.49,538
0x56b40e98,27.50,198,440,101.49,536
0x56b40e9a,27.50,200,508,101.49,536
0x56b40e9b,27.50,197,461,101.48,534
0x56b40e9d,27.63,198,511,101.50,530
0x56b40e9f,27.50,200,489,101.47,531
0x56b40ea1,27.50,198,403,101.48,531
0x56b40ea3,27.50,198,495,101.48,532
0x56b40ea5,27.56,197,524,101.49,532
0x56b40ea6,27.50,198,457,101.49,533
0x56b40ea8,27.50,200,501,101.48,529
0x56b40eaa,27.50,199,385,101.49,532
0x56b40eac,27.56,199,463,101.50,530
0x56b40ead,27.50,198,506,101.49,532
0x56b40eaf,27.56,198,485,101.50,529
0x56b40eb1,27.44,200,469,101.47,529
0x56b40eb3,27.44,198,523,101.48,522
