hextimestamp,temp,light,sound,pressure,humidity
0x56ac9e63,28.94,92,346,100.17,539
0x56ac9e64,28.63,92,353,100.11,540
0x56ac9e66,28.81,93,355,100.14,538
0x56ac9e68,28.88,86,352,100.15,536
0x56ac9e69,28.94,90,347,100.16,540
0x56ac9e6b,28.56,93,357,100.07,538
0x56ac9e6d,28.81,91,364,100.13,536
0x56ac9e6e,28.63,87,338,100.09,537
0x56ac9e70,28.63,91,345,100.09,539
0x56ac9e71,28.94,86,338,100.15,535
0x56ac9e73,28.88,85,376,100.14,539
0x56ac9e75,29.00,93,356,100.17,539
0x56ac9e76,28.88,92,532,100.13,536
0x56ac9e78,28.69,87,336,100.10,537
0x56ac9e7a,28.94,85,349,100.14,537
0x56ac9e7b,29.00,92,412,100.15,539
0x56ac9e7d,28.69,85,359,100.09,538
0x56ac9e7f,28.81,85,352,100.12,539
0x56ac9e80,28.88,92,352,100.12,536
0x56ac9e82,29.06,92,349,100.16,535
0x56ac9e84,28.81,93,351,100.11,540
0x56ac9e85,28.81,92,361,100.11,537
0x56ac9e87,28.94,84,341,100.14,536
0x56ac9e88,28.88,84,341,100.13,540
0x56ac9e8a,28.88,85,349,100.14,538
0x56ac9e8c,28.94,85,606,100.15,537
0x56ac9e8d,28.75,90,354,100.12,538
0x56ac9e8f,28.88,90,353,100.13,535
0x56ac9e91,28.69,88,344,100.10,536
0x56ac9e92,28.75,88,338,100.11,539
0x56ac9e94,29.00,85,356,100.16,535
0x56ac9e96,28.75,84,360,100.11,539
0x56ac9e97,28.81,91,349,100.12,540
0x56ac9e99,28.88,86,340,100.13,535
0x56ac9e9b,28.75,87,473,100.10,535
0x56ac9e9c,28.88,92,430,100.12,538
0x56ac9e9e,28.75,93,409,100.11,536
0x56ac9e9f,28.88,92,351,100.13,537
0x56ac9ea1,29.00,85,380,100.16,539
0x56ac9ea3,28.81,87,362,100.13,539
0x56ac9ea4,28.69,85,360,100.11,535
0x56ac9ea6,28.88,84,350,100.14,538
0x56ac9ea8,28.81,85,355,100.14,538
0x56ac9ea9,28.75,85,370,100.11,537
0x56ac9eab,28.75,85,367,100.12,534
0x56ac9eac,28.75,86,360,100.11,538
0x56ac9eae,28.63,92,351,100.09,538
0x56ac9eb0,28.75,85,355,100.12,535
0x56ac9eb1,28.75,84,347,100.12,535
0x56ac9eb3,28.75,86,343,100.11,535
0x56ac9eb5,28.81,92,368,100.12,535
0x56ac9eb6,28.75,92,341,100.11,534
0x56aca268,28.81,95,344,100.11,531
0x56aca269,29.06,92,372,100.10,531
0x56aca26b,29.19,91,341,100.12,529
0x56aca26d,29.06,96,352,100.09,528
0x56aca26e,28.88,95,355,100.06,530
0x56aca270,29.31,90,346,100.13,527
0x56aca272,28.88,95,335,100.06,527
0x56aca273,29.19,95,368,100.11,528
0x56aca275,29.25,93,347,100.12,529
0x56aca276,29.13,89,352,100.10,527
0x56aca278,29.06,95,371,100.09,527
0x56aca27a,29.19,96,372,100.11,530
0x56aca27b,29.25,90,358,100.14,527
0x56aca27d,29.31,88,359,100.15,528
0x56aca27f,29.06,95,358,100.10,527
0x56aca280,29.00,89,375,100.09,526
0x56aca282,29.19,89,345,100.12,529
0x56aca283,29.25,96,345,100.13,528
0x56aca285,29.25,95,358,100.14,531
0x56aca287,29.25,94,350,100.14,529
0x56aca288,29.06,91,354,100.11,526
0x56aca28a,29.19,90,344,100.13,529
0x56aca28c,29.25,89,332,100.14,530
0x56aca28d,29.00,90,350,100.10,533
0x56aca28f,29.00,89,338,100.10,532
0x56aca291,28.88,90,352,100.07,530
0x56aca292,29.06,90,340,100.12,530
0x56aca294,29.00,96,345,100.10,529
0x56aca295,29.06,95,354,100.12,528
0x56aca297,29.19,94,348,100.15,533
0x56aca299,29.00,99,355,100.11,534
0x56aca29a,29.19,94,348,100.15,533
0x56aca29c,28.81,95,343,100.07,534
0x56aca29e,29.00,91,342,100.11,534
0x56aca29f,29.06,90,352,100.13,532
0x56aca2a1,29.19,92,338,100.15,532
0x56aca2a3,29.06,93,360,100.12,534
0x56aca2a4,29.19,93,350,100.14,531
0x56aca2a6,29.06,94,348,100.13,527
0x56aca2a7,29.25,94,340,100.15,532
0x56aca2a9,28.94,96,339,100.09,534
0x56aca2ab,29.06,88,356,100.12,535
0x56aca2ac,29.06,91,352,100.12,535
0x56aca2ae,29.19,91,340,100.15,534
0x56aca2b0,28.94,91,342,100.10,536
0x56aca2b1,29.06,95,345,100.12,532
0x56aca2b3,28.88,90,343,100.09,531
0x56aca2b5,29.00,97,351,100.11,531
0x56aca2b6,29.06,90,355,100.14,532
0x56aca2b8,29.06,89,373,100.14,530
0x56aca2b9,29.06,94,348,100.14,532
0x56aca2bb,28.88,97,353,100.09,532
0x56aca2bd,29.00,87,347,100.11,531
0x56aca2be,29.19,91,389,100.15,529
0x56aca2c0,29.19,90,347,100.15,532
0x56aca2c2,28.88,91,372,100.08,531
0x56aca2c3,29.06,88,371,100.14,532
0x56aca5e9,29.19,94,351,100.11,542
